task,proto,n,mean_ms,std_ms,median_ms,p95_ms,min_ms,max_ms,mad_ms,outlier_count,outlier_rate,trimmed_n,trimmed_mean_ms,trimmed_std_ms
combo_on_wait_read,JSON,250,9.619,0.325,9.652,10.112,9.038,10.351,0.269,0,0.000,250,9.619,0.325
combo_on_wait_read,M,250,504.361,0.302,504.369,504.813,503.755,505.038,0.250,0,0.000,250,504.361,0.302
relay1_off,JSON,250,5.535,0.316,5.534,6.031,4.940,6.413,0.271,0,0.000,250,5.535,0.316
relay1_off,M,250,3.594,0.304,3.614,4.057,3.029,4.147,0.249,0,0.000,250,3.594,0.304
relay1_on,JSON,250,5.572,0.305,5.603,6.051,4.996,6.284,0.234,0,0.000,250,5.572,0.305
relay1_on,M,250,3.586,0.306,3.589,4.057,3.043,4.428,0.261,0,0.000,250,3.586,0.306
temp_read,JSON,250,4.830,0.298,4.813,5.277,4.230,5.381,0.261,0,0.000,250,4.830,0.298
temp_read,M,250,3.949,3.515,3.450,3.946,2.825,28.757,0.259,5,0.020,245,3.449,0.301
water_read,JSON,250,4.822,0.315,4.800,5.303,4.219,5.668,0.268,0,0.000,250,4.822,0.315
water_read,M,250,3.445,0.310,3.458,3.920,2.827,4.085,0.266,0,0.000,250,3.445,0.310
