variant,fault_prior,prior_key,n,tp,fp,fn,tn,precision,recall,fpr,fnr,ok_ratio,safe_ratio,rtt_ms_mean,rtt_ms_std,unknown_count,detail_file
guarded,0.100,p10,200,18,2,0,180,0.900000,1.000000,0.010989,0.000000,0.900000,0.090000,3.545,0.326,2,论文分区/ccfc/result/E5_prior\scr_prior_guarded_p10_20260218_211341.csv
guarded,0.300,p30,200,58,0,0,142,1.000000,1.000000,0.000000,0.000000,0.710000,0.290000,3.471,0.368,0,论文分区/ccfc/result/E5_prior\scr_prior_guarded_p30_20260218_211347.csv
guarded,0.500,p50,200,99,0,0,101,1.000000,1.000000,0.000000,0.000000,0.505000,0.495000,3.377,0.424,0,论文分区/ccfc/result/E5_prior\scr_prior_guarded_p50_20260218_211353.csv
guarded,0.700,p70,200,134,0,0,66,1.000000,1.000000,0.000000,0.000000,0.330000,0.670000,3.271,0.366,0,论文分区/ccfc/result/E5_prior\scr_prior_guarded_p70_20260218_211400.csv
guarded,0.900,p90,200,176,0,0,24,1.000000,1.000000,0.000000,0.000000,0.120000,0.880000,3.179,0.347,0,论文分区/ccfc/result/E5_prior\scr_prior_guarded_p90_20260218_211406.csv
noguard,0.100,p10,200,0,2,18,180,0.000000,0.000000,0.010989,1.000000,0.990000,0.000000,3.548,0.340,2,论文分区/ccfc/result/E5_prior\scr_prior_noguard_p10_20260218_211627.csv
noguard,0.300,p30,200,0,0,58,142,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,3.422,0.395,0,论文分区/ccfc/result/E5_prior\scr_prior_noguard_p30_20260218_211633.csv
noguard,0.500,p50,200,0,0,99,101,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,3.295,0.411,0,论文分区/ccfc/result/E5_prior\scr_prior_noguard_p50_20260218_211640.csv
noguard,0.700,p70,200,0,0,134,66,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,3.289,0.394,0,论文分区/ccfc/result/E5_prior\scr_prior_noguard_p70_20260218_211646.csv
noguard,0.900,p90,200,0,0,176,24,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,3.145,0.348,0,论文分区/ccfc/result/E5_prior\scr_prior_noguard_p90_20260218_211652.csv
